"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2011","0.32","0.33","0.35","0.32","3.23B","-3.03%"
"08/21/2011","0.33","0.30","0.33","0.30","3.66B","13.79%"
"08/14/2011","0.29","0.33","0.34","0.29","3.70B","-9.38%"
"08/07/2011","0.32","0.31","0.37","0.30","7.83B","0.00%"
"07/31/2011","0.32","0.35","0.38","0.32","5.39B","-8.57%"
"07/24/2011","0.35","0.37","0.37","0.34","3.24B","-7.89%"
"07/17/2011","0.38","0.35","0.38","0.34","3.96B","8.57%"
"07/10/2011","0.35","0.38","0.38","0.35","4.13B","-10.26%"
"07/03/2011","0.39","0.40","0.41","0.38","2.67B","-2.50%"
"06/26/2011","0.40","0.39","0.41","0.37","3.99B","2.56%"
"06/19/2011","0.39","0.39","0.41","0.39","3.38B","-2.50%"
"06/12/2011","0.40","0.43","0.44","0.38","4.54B","-6.98%"
"06/05/2011","0.43","0.46","0.47","0.42","2.67B","-6.52%"
"05/29/2011","0.46","0.50","0.50","0.46","3.12B","-6.12%"
"05/22/2011","0.49","0.45","0.49","0.44","3.22B","8.89%"
"05/15/2011","0.45","0.46","0.46","0.43","4.04B","-2.17%"
"05/08/2011","0.46","0.48","0.51","0.45","5.26B","-4.17%"
"05/01/2011","0.48","0.51","0.51","0.46","3.45B","-4.00%"
"04/24/2011","0.50","0.47","0.51","0.46","3.27B","8.70%"
"04/17/2011","0.46","0.46","0.47","0.44","2.48B","-2.13%"
"04/10/2011","0.47","0.44","0.47","0.42","4.36B","6.82%"
"04/03/2011","0.44","0.46","0.46","0.43","4.37B","-4.35%"
"03/27/2011","0.46","0.48","0.49","0.45","4.60B","-2.13%"
"03/20/2011","0.47","0.45","0.49","0.43","5.23B","6.82%"
"03/13/2011","0.44","0.45","0.47","0.43","5.86B","-2.22%"
"03/06/2011","0.45","0.52","0.52","0.44","7.50B","-13.46%"
"02/27/2011","0.52","0.59","0.59","0.51","6.16B","-10.34%"
"02/20/2011","0.58","0.62","0.62","0.54","4.91B","-9.38%"
"02/13/2011","0.64","0.59","0.65","0.56","8.36B","8.47%"
"02/06/2011","0.59","0.63","0.64","0.56","5.69B","-7.81%"
"01/30/2011","0.64","0.59","0.65","0.59","4.92B","8.47%"
"01/23/2011","0.59","0.58","0.63","0.57","5.97B","5.36%"
"01/16/2011","0.56","0.58","0.59","0.54","4.86B","-5.08%"
"01/09/2011","0.59","0.49","0.60","0.48","12.19B","18.00%"
"01/02/2011","0.50","0.39","0.50","0.39","8.97B","28.21%"
"12/26/2010","0.39","0.37","0.39","0.37","1.19B","5.41%"
"12/19/2010","0.37","0.36","0.38","0.36","1.56B","2.78%"
"12/12/2010","0.36","0.38","0.38","0.35","3.21B","-2.70%"
"12/05/2010","0.37","0.37","0.38","0.36","3.47B","0.00%"
"11/28/2010","0.37","0.34","0.37","0.33","2.95B","8.82%"
"11/21/2010","0.34","0.34","0.35","0.33","1.46B","0.00%"
"11/14/2010","0.34","0.33","0.34","0.31","3.73B","3.03%"
"11/07/2010","0.33","0.32","0.34","0.31","4.99B","3.13%"
"10/31/2010","0.32","0.30","0.32","0.30","3.16B","6.67%"
"10/24/2010","0.30","0.30","0.31","0.29","3.11B","3.45%"
"10/17/2010","0.29","0.28","0.30","0.27","4.42B","3.57%"
"10/10/2010","0.28","0.27","0.29","0.27","3.26B","3.70%"
"10/03/2010","0.27","0.28","0.29","0.26","4.03B","-3.57%"
"09/26/2010","0.28","0.31","0.31","0.28","4.48B","-9.68%"
"09/19/2010","0.31","0.26","0.31","0.26","5.55B","19.23%"
"09/12/2010","0.26","0.26","0.27","0.26","3.05B","4.00%"
"09/05/2010","0.25","0.25","0.26","0.25","3.43B","0.00%"
"08/29/2010","0.25","0.25","0.25","0.23","3.55B","0.00%"
"08/22/2010","0.25","0.25","0.26","0.24","3.87B","0.00%"
"08/15/2010","0.25","0.23","0.26","0.23","4.57B","8.70%"
"08/08/2010","0.23","0.24","0.24","0.22","5.18B","-4.17%"
"08/01/2010","0.24","0.23","0.24","0.22","4.27B","4.35%"
"07/25/2010","0.23","0.26","0.27","0.22","6.34B","-11.54%"
"07/18/2010","0.26","0.25","0.27","0.25","3.86B","4.00%"
"07/11/2010","0.25","0.26","0.29","0.25","4.89B","-3.85%"
"07/04/2010","0.26","0.26","0.27","0.25","2.68B","0.00%"
"06/27/2010","0.26","0.28","0.28","0.25","3.13B","-7.14%"
"06/20/2010","0.28","0.31","0.31","0.27","3.24B","-9.68%"
"06/13/2010","0.31","0.29","0.31","0.28","3.06B","6.90%"
"06/06/2010","0.29","0.30","0.31","0.27","3.30B","-3.33%"
"05/30/2010","0.30","0.32","0.33","0.30","2.43B","-9.09%"
"05/23/2010","0.33","0.32","0.34","0.30","3.89B","3.13%"
"05/16/2010","0.32","0.32","0.33","0.30","4.56B","0.00%"
"05/09/2010","0.32","0.37","0.38","0.32","6.46B","-8.57%"
"05/02/2010","0.35","0.39","0.40","0.33","5.88B","-10.26%"
"04/25/2010","0.39","0.41","0.42","0.39","3.83B","-4.88%"
"04/18/2010","0.41","0.42","0.43","0.40","4.08B","-4.65%"
"04/11/2010","0.43","0.43","0.45","0.42","4.97B","2.38%"
"04/04/2010","0.42","0.43","0.44","0.42","3.90B","-2.33%"
"03/28/2010","0.43","0.44","0.45","0.43","1.45B","0.00%"
"03/21/2010","0.43","0.43","0.45","0.43","2.21B","0.00%"
"03/14/2010","0.43","0.43","0.46","0.42","3.00B","0.00%"
"03/07/2010","0.43","0.43","0.44","0.42","2.75B","0.00%"
"02/28/2010","0.43","0.41","0.43","0.40","2.68B","4.88%"
"02/21/2010","0.41","0.42","0.42","0.39","2.36B","0.00%"
"02/14/2010","0.41","0.44","0.45","0.41","3.36B","-4.65%"
"02/07/2010","0.43","0.40","0.44","0.40","3.39B","4.88%"
"01/31/2010","0.41","0.39","0.42","0.38","3.75B","7.89%"
"01/24/2010","0.38","0.42","0.43","0.38","3.63B","-7.32%"
"01/17/2010","0.41","0.42","0.44","0.41","2.94B","-4.65%"
"01/10/2010","0.43","0.47","0.47","0.42","3.12B","-6.52%"
"01/03/2010","0.46","0.46","0.47","0.45","3.20B","-2.13%"
"12/27/2009","0.47","0.45","0.47","0.44","2.35B","4.44%"
"12/20/2009","0.45","0.42","0.46","0.42","1.80B","7.14%"
"12/13/2009","0.42","0.39","0.44","0.38","4.36B","10.53%"
"12/06/2009","0.38","0.40","0.41","0.38","5.31B","5.56%"
"11/29/2009","0.36","0.32","0.36","0.32","3.06B","12.50%"
"11/22/2009","0.32","0.33","0.33","0.31","1.53B","0.00%"
"11/15/2009","0.32","0.34","0.35","0.32","2.47B","-5.88%"
"11/08/2009","0.34","0.33","0.35","0.32","3.37B","3.03%"
"11/01/2009","0.33","0.30","0.34","0.29","4.98B","10.00%"
"10/25/2009","0.30","0.33","0.34","0.30","3.09B","-9.09%"
"10/18/2009","0.33","0.33","0.35","0.33","2.67B","0.00%"
"10/11/2009","0.33","0.35","0.36","0.32","4.31B","-5.71%"
"10/04/2009","0.35","0.35","0.36","0.34","3.84B","0.00%"
"09/27/2009","0.35","0.36","0.38","0.34","3.43B","-2.78%"
"09/20/2009","0.36","0.38","0.39","0.36","2.36B","-5.26%"
"09/13/2009","0.38","0.40","0.41","0.37","3.27B","-7.32%"
"09/06/2009","0.41","0.38","0.41","0.38","2.44B","7.89%"
"08/30/2009","0.38","0.36","0.38","0.35","2.62B","2.70%"
"08/23/2009","0.37","0.35","0.38","0.33","2.78B","5.71%"
"08/16/2009","0.35","0.33","0.35","0.32","3.08B","2.94%"
"08/09/2009","0.34","0.35","0.35","0.32","2.80B","0.00%"
"08/02/2009","0.34","0.33","0.36","0.32","4.14B","6.25%"
"07/26/2009","0.32","0.32","0.33","0.31","2.63B","0.00%"
"07/19/2009","0.32","0.30","0.33","0.29","4.02B","6.67%"
"07/12/2009","0.30","0.26","0.30","0.25","3.83B","15.38%"
"07/05/2009","0.26","0.27","0.27","0.24","4.27B","-3.70%"
"06/28/2009","0.27","0.29","0.29","0.27","2.35B","-6.90%"
"06/21/2009","0.29","0.28","0.29","0.25","3.06B","3.57%"
"06/14/2009","0.28","0.28","0.29","0.27","3.15B","-3.45%"
"06/07/2009","0.29","0.27","0.30","0.26","3.46B","7.41%"
"05/31/2009","0.27","0.26","0.28","0.26","3.90B","3.85%"
"05/24/2009","0.26","0.24","0.27","0.24","3.51B","4.00%"
"05/17/2009","0.25","0.22","0.26","0.22","4.79B","13.64%"
"05/10/2009","0.22","0.23","0.24","0.21","5.34B","-4.35%"
"05/03/2009","0.23","0.30","0.31","0.23","6.92B","-20.69%"
"04/26/2009","0.29","0.28","0.30","0.27","4.23B","0.00%"
"04/19/2009","0.29","0.28","0.30","0.27","3.95B","0.00%"
"04/12/2009","0.29","0.30","0.30","0.27","4.26B","-3.33%"
"04/05/2009","0.30","0.28","0.30","0.27","3.13B","7.14%"
"03/29/2009","0.28","0.25","0.28","0.23","4.48B","7.69%"
"03/22/2009","0.26","0.25","0.27","0.24","5.24B","8.33%"
"03/15/2009","0.24","0.25","0.26","0.23","4.98B","0.00%"
"03/08/2009","0.24","0.21","0.30","0.21","5.60B","14.29%"
"03/01/2009","0.21","0.20","0.22","0.19","4.78B","0.00%"
"02/22/2009","0.21","0.19","0.21","0.18","3.91B","10.53%"
"02/15/2009","0.19","0.20","0.21","0.18","2.94B","-9.52%"
"02/08/2009","0.21","0.25","0.25","0.20","5.62B","-16.00%"
"02/01/2009","0.25","0.20","0.25","0.19","3.83B","25.00%"
"01/25/2009","0.20","0.19","0.22","0.19","2.95B","5.26%"
"01/18/2009","0.19","0.20","0.20","0.18","2.54B","-5.00%"
"01/11/2009","0.20","0.20","0.20","0.18","5.28B","0.00%"
"01/04/2009","0.20","0.22","0.24","0.20","4.01B","-9.09%"
"12/28/2008","0.22","0.19","0.22","0.18","1.81B","15.79%"
"12/21/2008","0.19","0.22","0.22","0.18","1.27B","-9.52%"
"12/14/2008","0.21","0.22","0.24","0.20","2.84B","0.00%"
"12/07/2008","0.21","0.19","0.22","0.17","3.76B","16.67%"
"11/30/2008","0.18","0.18","0.20","0.17","2.52B","-5.26%"
"11/23/2008","0.19","0.17","0.19","0.16","1.91B","18.75%"
"11/16/2008","0.16","0.18","0.18","0.14","2.90B","-11.11%"
"11/09/2008","0.18","0.23","0.23","0.17","3.34B","-18.18%"
"11/02/2008","0.22","0.22","0.23","0.19","4.06B","0.00%"
"10/26/2008","0.22","0.16","0.22","0.16","3.79B","29.41%"
"10/19/2008","0.17","0.20","0.20","0.15","3.49B","-10.53%"
"10/12/2008","0.19","0.18","0.21","0.17","4.84B","11.76%"
"10/05/2008","0.17","0.21","0.22","0.16","6.07B","-26.09%"
"09/28/2008","0.23","0.28","0.29","0.22","3.92B","-20.69%"
"09/21/2008","0.29","0.28","0.29","0.27","3.62B","0.00%"
"09/14/2008","0.29","0.25","0.29","0.22","6.23B","16.00%"
"09/07/2008","0.25","0.29","0.30","0.24","5.33B","-13.79%"
"08/31/2008","0.29","0.32","0.32","0.28","2.92B","-9.38%"
"08/24/2008","0.32","0.34","0.35","0.32","2.42B","-5.88%"
"08/17/2008","0.34","0.33","0.35","0.32","4.53B","6.25%"
"08/10/2008","0.32","0.28","0.34","0.27","7.12B","14.29%"
"08/03/2008","0.28","0.27","0.30","0.26","3.70B","3.70%"
"07/27/2008","0.27","0.29","0.30","0.27","3.46B","-6.90%"
"07/20/2008","0.29","0.29","0.30","0.27","3.47B","0.00%"
"07/13/2008","0.29","0.29","0.30","0.27","4.80B","0.00%"
"07/06/2008","0.29","0.32","0.32","0.28","7.29B","-6.45%"
"06/29/2008","0.31","0.48","0.48","0.31","5.31B","-35.42%"
"06/22/2008","0.48","0.50","0.51","0.47","4.19B","-2.04%"
"06/15/2008","0.49","0.53","0.53","0.48","3.91B","-7.55%"
"06/08/2008","0.53","0.60","0.61","0.52","4.39B","-11.67%"
"06/01/2008","0.60","0.62","0.63","0.58","4.03B","-3.23%"
"05/25/2008","0.62","0.58","0.62","0.57","3.11B","6.90%"
"05/18/2008","0.58","0.61","0.63","0.57","4.49B","-4.92%"
"05/11/2008","0.61","0.57","0.61","0.53","4.87B","8.93%"
"05/04/2008","0.56","0.56","0.59","0.53","5.78B","0.00%"
"04/27/2008","0.56","0.50","0.56","0.49","4.32B","12.00%"
"04/20/2008","0.50","0.47","0.52","0.47","3.50B","4.17%"
"04/13/2008","0.48","0.46","0.48","0.44","3.04B","4.35%"
"04/06/2008","0.46","0.48","0.51","0.46","4.25B","-2.13%"
"03/30/2008","0.47","0.50","0.53","0.47","4.24B","-4.08%"
"03/23/2008","0.49","0.47","0.52","0.47","3.51B","6.52%"
"03/16/2008","0.46","0.44","0.47","0.43","3.39B","0.00%"
"03/09/2008","0.46","0.48","0.50","0.45","4.75B","-6.12%"
"03/02/2008","0.49","0.53","0.54","0.47","3.72B","-7.55%"
"02/24/2008","0.53","0.56","0.58","0.53","2.82B","-5.36%"
"02/17/2008","0.56","0.57","0.57","0.53","2.69B","0.00%"
"02/10/2008","0.56","0.63","0.68","0.55","4.86B","-9.68%"
"02/03/2008","0.62","0.69","0.69","0.58","2.68B","-7.46%"
"01/27/2008","0.67","0.62","0.68","0.60","2.70B","8.06%"
"01/20/2008","0.62","0.56","0.69","0.56","2.93B","0.00%"
"01/13/2008","0.62","0.69","0.72","0.56","4.78B","-8.82%"
"01/06/2008","0.68","0.76","0.76","0.66","3.98B","-9.33%"
"12/30/2007","0.75","0.86","0.88","0.74","1.97B","-13.79%"
"12/23/2007","0.87","0.89","0.91","0.86","823.04M","-1.14%"
"12/16/2007","0.88","0.87","0.90","0.83","1.87B","0.00%"
"12/09/2007","0.88","0.85","0.90","0.84","2.39B","3.53%"
"12/02/2007","0.85","0.80","0.86","0.78","2.22B","7.59%"
"11/25/2007","0.79","0.76","0.85","0.74","2.56B","3.95%"
"11/18/2007","0.76","0.80","0.80","0.73","1.98B","-6.17%"
"11/11/2007","0.81","0.83","0.85","0.75","3.03B","-2.41%"
"11/04/2007","0.83","0.91","0.95","0.82","3.41B","-9.78%"
"10/28/2007","0.92","0.83","0.93","0.81","2.87B","6.98%"
"10/21/2007","0.86","0.93","0.99","0.84","2.82B","-7.53%"
