"Date","Close","% Change","% Change vs Average","Volume"
"2025-03-13T12:54:00.000Z","40.15","-0.06","0.98","3,071"
"2025-03-13T12:55:00.000Z","40.16","0.02","1.07","357"
"2025-03-13T12:56:00.000Z","40.17","0.04","1.08","1,792"
"2025-03-13T12:57:00.000Z","40.19","0.04","1.08","1,758"
"2025-03-13T12:58:00.000Z","40.14","-0.12","0.92","1,779"
"2025-03-13T12:59:00.000Z","40.17","0.07","1.12","777"
"2025-03-13T13:00:00.000Z","40.19","0.05","1.10","4,178"
"2025-03-13T13:01:00.000Z","40.21","0.05","1.10","9,466"
"2025-03-13T13:02:00.000Z","40.21","-0.01","1.03","2,308"
"2025-03-13T13:03:00.000Z","40.21","0.01","1.06","4,033"
"2025-03-13T13:04:00.000Z","40.22","0.04","1.08","8,343"
"2025-03-13T13:05:00.000Z","40.22","-0.01","1.03","1,707"
"2025-03-13T13:06:00.000Z","40.18","-0.10","0.95","3,067"
"2025-03-13T13:07:00.000Z","40.14","-0.10","0.95","1,504"
"2025-03-13T13:08:00.000Z","40.17","0.07","1.12","912"
"2025-03-13T13:09:00.000Z","40.14","-0.07","0.97","1,322"
"2025-03-13T13:10:00.000Z","40.13","-0.01","1.03","503"
"2025-03-13T13:11:00.000Z","40.15","0.05","1.10","794"
"2025-03-13T13:12:00.000Z","40.18","0.06","1.11","6,637"
"2025-03-13T13:13:00.000Z","40.19","0.01","1.06","4,301"
"2025-03-13T13:14:00.000Z","40.18","-0.01","1.03","1,514"
"2025-03-13T13:15:00.000Z","40.17","-0.04","1.01","2,885"
"2025-03-13T13:16:00.000Z","40.13","-0.07","0.97","970"
"2025-03-13T13:17:00.000Z","40.11","-0.06","0.98","1,159"
"2025-03-13T13:18:00.000Z","40.12","0.01","1.06","1,358"
"2025-03-13T13:19:00.000Z","40.10","-0.04","1.01","740"
"2025-03-13T13:20:00.000Z","40.12","0.05","1.10","382"
"2025-03-13T13:21:00.000Z","40.11","-0.02","1.02","436"
"2025-03-13T13:22:00.000Z","40.11","0","1.05","31"
"2025-03-13T13:23:00.000Z","40.14","0.07","1.12","1,360"
"2025-03-13T13:24:00.000Z","40.13","-0.02","1.02","910"
"2025-03-13T13:25:00.000Z","40.15","0.06","1.11","833"
"2025-03-13T13:26:00.000Z","40.17","0.02","1.07","539"
"2025-03-13T13:27:00.000Z","40.16","-0.01","1.03","533"
"2025-03-13T13:28:00.000Z","40.16","0","1.05","219"
"2025-03-13T13:29:00.000Z","40.12","-0.10","0.95","1,790"
"2025-03-13T13:30:00.000Z","40.15","0.06","1.11","3,958"
"2025-03-13T13:31:00.000Z","40.19","0.10","1.15","3,067"
"2025-03-13T13:32:00.000Z","40.17","-0.02","1.02","1,542"
"2025-03-13T13:33:00.000Z","40.14","-0.09","0.96","1,666"
"2025-03-13T13:34:00.000Z","40.15","0.04","1.08","192"
"2025-03-13T13:35:00.000Z","40.15","-0.02","1.02","773"
"2025-03-13T13:36:00.000Z","40.13","-0.02","1.02","2,722"
"2025-03-13T13:37:00.000Z","40.14","0.01","1.06","139"
"2025-03-13T13:38:00.000Z","40.15","0.04","1.08","1,462"
"2025-03-13T13:39:00.000Z","40.13","-0.07","0.97","1,576"
"2025-03-13T13:40:00.000Z","40.13","0.02","1.07","911"
"2025-03-13T13:41:00.000Z","","-100.00","-98.95",""
"2025-03-13T13:42:00.000Z","40.15","0.02","1.07","3,156"
"2025-03-13T13:43:00.000Z","40.12","-0.06","0.98","1,047"
"2025-03-13T13:44:00.000Z","40.09","-0.07","0.97","2,713"
"2025-03-13T13:45:00.000Z","40.12","0.07","1.12","1,401"
"2025-03-13T13:46:00.000Z","40.09","-0.07","0.97","1,014"
"2025-03-13T13:47:00.000Z","40.04","-0.12","0.92","1,441"
"2025-03-13T13:48:00.000Z","40.01","-0.06","0.98","3,277"
"2025-03-13T13:49:00.000Z","40.03","0.02","1.07","5,385"
"2025-03-13T13:50:00.000Z","39.98","-0.11","0.93","1,662"
"2025-03-13T13:51:00.000Z","40.01","0.09","1.13","1,066"
"2025-03-13T13:52:00.000Z","39.97","-0.10","0.95","2,976"
"2025-03-13T13:53:00.000Z","39.97","-0.01","1.03","1,221"
"2025-03-13T13:54:00.000Z","39.92","-0.13","0.92","6,953"
"2025-03-13T13:55:00.000Z","39.90","-0.05","1.00","6,864"
"2025-03-13T13:56:00.000Z","39.85","-0.14","0.91","6,746"
"2025-03-13T13:57:00.000Z","39.85","0","1.05","2,871"
"2025-03-13T13:58:00.000Z","39.89","0.11","1.16","3,715"
"2025-03-13T13:59:00.000Z","39.88","-0.04","1.01","1,369"
"2025-03-13T14:00:00.000Z","39.90","0.06","1.11","1,842"
"2025-03-13T14:01:00.000Z","39.89","-0.03","1.02","4,129"
"2025-03-13T14:02:00.000Z","39.88","-0.01","1.03","429"
"2025-03-13T14:03:00.000Z","39.94","0.15","1.20","3,781"
"2025-03-13T14:04:00.000Z","39.97","0.06","1.11","3,363"
"2025-03-13T14:05:00.000Z","40.04","0.19","1.23","10,958"
"2025-03-13T14:06:00.000Z","40.05","0.01","1.06","8,463"
"2025-03-13T14:07:00.000Z","39.95","-0.25","0.80","37,277"
"2025-03-13T14:08:00.000Z","40.03","0.20","1.25","13,098"
"2025-03-13T14:09:00.000Z","40.02","-0.02","1.02","1,054"
"2025-03-13T14:10:00.000Z","40.00","-0.05","1.00","1,349"
"2025-03-13T14:11:00.000Z","39.99","-0.01","1.03","2,892"
"2025-03-13T14:12:00.000Z","40.03","0.10","1.15","5,002"
"2025-03-13T14:13:00.000Z","39.99","-0.11","0.93","2,139"
"2025-03-13T14:14:00.000Z","40.03","0.09","1.13","10,134"
"2025-03-13T14:15:00.000Z","40.01","-0.02","1.02","9,945"
"2025-03-13T14:16:00.000Z","39.99","-0.07","0.97","2,468"
"2025-03-13T14:17:00.000Z","39.99","0.01","1.06","1,146"
"2025-03-13T14:18:00.000Z","39.99","-0.01","1.03","6,914"
"2025-03-13T14:19:00.000Z","39.97","-0.04","1.01","1,153"
"2025-03-13T14:20:00.000Z","39.95","-0.05","1.00","1,047"
"2025-03-13T14:21:00.000Z","39.92","-0.09","0.96","619"
"2025-03-13T14:22:00.000Z","39.88","-0.08","0.97","647"
"2025-03-13T14:23:00.000Z","39.89","0.01","1.06","2,159"
"2025-03-13T14:24:00.000Z","39.90","0.01","1.06","2,099"
"2025-03-13T14:25:00.000Z","39.94","0.10","1.15","2,909"
"2025-03-13T14:26:00.000Z","39.94","0","1.05","586"
"2025-03-13T14:27:00.000Z","39.94","0.03","1.07","672"
"2025-03-13T14:28:00.000Z","39.92","-0.08","0.97","1,504"
"2025-03-13T14:29:00.000Z","39.92","0.01","1.06","1,475"
"2025-03-13T14:30:00.000Z","39.96","0.10","1.15","57,131"
"2025-03-13T14:31:00.000Z","39.97","0.04","1.08","850"
"2025-03-13T14:32:00.000Z","39.99","0.04","1.08","950"
"2025-03-13T14:33:00.000Z","39.98","-0.03","1.02","53,516"
"2025-03-13T14:34:00.000Z","39.97","-0.01","1.03","1,299"
"2025-03-13T14:35:00.000Z","39.95","-0.06","0.98","1,265"
"2025-03-13T14:36:00.000Z","39.94","-0.01","1.03","785"
"2025-03-13T14:37:00.000Z","39.94","-0.03","1.02","295"
"2025-03-13T14:38:00.000Z","39.94","0.01","1.06","222"
"2025-03-13T14:39:00.000Z","39.97","0.08","1.12","2,076"
"2025-03-13T14:40:00.000Z","39.93","-0.10","0.95","917"
"2025-03-13T14:41:00.000Z","39.92","-0.03","1.02","43"
"2025-03-13T14:42:00.000Z","39.94","0.05","1.10","1,240"
"2025-03-13T14:43:00.000Z","39.97","0.06","1.11","1,664"
"2025-03-13T14:44:00.000Z","39.94","-0.05","1.00","1,051"
"2025-03-13T14:45:00.000Z","39.96","0.03","1.07","667"
"2025-03-13T14:46:00.000Z","39.94","-0.03","1.02","1,306"
"2025-03-13T14:47:00.000Z","39.92","-0.06","0.98","931"
"2025-03-13T14:48:00.000Z","39.90","-0.06","0.98","2,238"
